task_id,task catefory,mode,user_prompt,input_data_ref,data_key,context_block,expected_capability,acceptance_metrics,evidence required,gold_ref,seed,time_limit_s,notes,expeted_tool_chain
SEG-008,Segmentation,Full-Stack,Segment cortical layers from high-resolution 7T anatomical,Custom 7T data,,Distinguish cortical depth from pial surface to white matter boundary at submillimeter scale,layering_tool; high_res_segmentation,layers_segmented; 6_cortical_depths,cortical_depths.nii.gz; depth_profile.png,,,,,
SEG-009,Segmentation,Full-Stack,Perform multi-atlas segmentation with majority voting for Brainomics,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Register multiple labeled atlases and combine predictions for robust parcellation,multi_atlas_tool; label_fusion,consensus_segmentation; voting_weights,fused_labels.nii.gz; atlas_contributions.csv,,,,,
SEG-010,Segmentation,Full-Stack,Run SPM12 DARTEL segmentation with improved normalization,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Use diffeomorphic registration during segmentation for better alignment of atrophied brains,spm_dartel_tool; dartel_segmentation,dartel_complete; flow_fields_generated,dartel_template.nii.gz; flow_fields/,,,,,
SEG-011,Segmentation,Full-Stack,Segment amygdala subnuclei using high-resolution protocol,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,"Divide amygdala into functional subdivisions (basal, lateral, central nuclei)",freesurfer_amygdala_tool; subnuclei,amygdala_subdivided; 9_subnuclei,amygdala-nuclei.mgz; subnuclei_volumes.csv,,,,,
SEG-012,Segmentation,Full-Stack,Perform cerebellum parcellation with SUIT toolbox,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Label cerebellar lobules and deep nuclei using specialized cerebellum template,suit_tool; cerebellar_segmentation,cerebellum_segmented; 28_lobules,cerebellum_suit.nii.gz; lobule_volumes.csv,,,,,
SEG-013,Segmentation,Full-Stack,Run white matter lesion segmentation for aging cohort,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Detect white matter hyperintensities indicating vascular pathology in elderly,wml_segmentation_tool; hyperintensity_detection,wml_detected; lesion_load_quantified,wml_mask.nii.gz; lesion_burden.csv,,,,,
SEG-014,Segmentation,Full-Stack,Segment cortical thickness maps from Haxby FreeSurfer outputs,Haxby dataset,nilearn.datasets.fetch_haxby,Compute distance between pial and white surfaces at each vertex for thickness measurement,thickness_tool; surface_analysis,thickness_computed; range_1.5-4.5mm,lh.thickness; rh.thickness; thickness_stats.csv,,,,,
SEG-015,Segmentation,Full-Stack,Perform nucleus accumbens subdivision into core and shell,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Separate reward-related striatal structure into functional subregions,accumbens_tool; reward_circuitry,accumbens_subdivided; core_shell_separated,nac_core_shell.nii.gz; volumes.csv,,,,,
SEG-016,Segmentation,Full-Stack,Run joint tissue segmentation and bias correction on NKI,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Simultaneously classify tissues and remove intensity artifacts in unified model,unified_segmentation_tool; joint_correction,tissues_segmented; bias_removed,tissue_probs/; bias_corrected.nii.gz,,,,,
SEG-017,Segmentation,Full-Stack,"Segment ventricular system with lateral, third, fourth ventricles",OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Label all ventricles and measure volumes for hydrocephalus and atrophy studies,ventricle_tool; csf_segmentation,ventricles_segmented; volumes_measured,ventricle_labels.nii.gz; ventricle_volumes.csv,,,,,
SEG-018,Segmentation,Full-Stack,Perform cortical myelin mapping from T1w/T2w ratio images,HCP-style data,,Create myelin content maps showing cortical myeloarchitecture from intensity ratios,myelin_mapping_tool; t1t2_ratio,myelin_mapped; gradient_preserved,myelin_map.nii.gz; myelin_profile.png,,,,,
SEG-019,Segmentation,Full-Stack,Run deep sulci labeling including circular sulcus of insula,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Identify and label complex sulcal patterns often missed by standard parcellation,sulcal_labeling_tool; detailed_anatomy,sulci_labeled; deep_structures_identified,sulcal_labels.mgz; sulcal_pattern.png,,,,,
SEG-020,Segmentation,Full-Stack,Segment basal ganglia nuclei with CIT168 atlas registration,ADHD-200 dataset,nilearn.datasets.fetch_adhd,"Label striatum, pallidum, subthalamic nucleus using high-resolution probabilistic atlas",basal_ganglia_tool; cit168_atlas,ganglia_segmented; 7_nuclei,basal_ganglia.nii.gz; nuclei_volumes.csv,,,,,
,,,,,,,,,,,,,,
STAT-001,Statistical Analysis,Full-Stack,Run first-level GLM on Haxby faces vs houses with HRF convolution,Haxby dataset,nilearn.datasets.fetch_haxby,Model brain response to experimental conditions using general linear model with hemodynamic response function,nilearn_glm_tool; first_level,glm_fitted; contrasts_computed,beta_maps.nii.gz; contrast_zmap.nii.gz,,,,,
STAT-002,Statistical Analysis,Full-Stack,Perform group-level one-sample t-test on Brainomics calculation contrast,Brainomics Localizer contrasts,,Test whether brain activation differs from zero across the group using parametric statistics,nilearn_glm_tool; second_level,group_test_complete; t_map_generated,group_tmap.nii.gz; thresholded_map.nii.gz,,,,,
STAT-003,Statistical Analysis,Full-Stack,Run two-sample t-test comparing ADHD vs controls on ReHo maps,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Compare two groups to find regions with different local synchronization using independent samples test,statistical_comparison_tool; group_difference,two_sample_complete; corrected_p<0.05,adhd_vs_control_tmap.nii.gz; significant_clusters.csv,,,,,
STAT-004,Statistical Analysis,Full-Stack,Perform ANCOVA with age as covariate on Development fMRI activations,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Test group differences while statistically controlling for continuous confounding variable,ancova_tool; covariate_modeling,ancova_complete; age_effect_partialed,age_adjusted_contrast.nii.gz; ancova_table.csv,,,,,
STAT-005,Statistical Analysis,Full-Stack,Run paired t-test on NKI test-retest connectivity matrices,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Compare same subjects across two sessions to test for systematic differences in measurements,paired_test_tool; within_subject,paired_complete; difference_map_generated,paired_tmap.nii.gz; reliability_metrics.csv,,,,,
STAT-006,Statistical Analysis,Full-Stack,Apply FDR correction to Miyawaki decoding searchlight results,Miyawaki dataset,nilearn.datasets.fetch_miyawaki2008,Control false discovery rate across multiple comparisons for spatial maps,fdr_correction_tool; multiple_comparisons,fdr_applied; q<0.05,fdr_corrected_map.nii.gz; significant_voxels.txt,,,,,
STAT-007,Statistical Analysis,Full-Stack,Perform cluster-extent threshold with FSL randomise on ABIDE,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Use permutation testing with cluster-size inference for robust multiple comparison correction,fsl_randomise_tool; permutation_test,randomise_complete; tfce_map_generated,randomise_tfce_tstat.nii.gz; cluster_table.txt,,,,,
STAT-008,Statistical Analysis,Full-Stack,Run AFNI 3dClustSim Monte Carlo correction on SPM auditory,SPM auditory dataset,nilearn.datasets.fetch_spm_auditory,Estimate cluster-size threshold via simulation preserving spatial autocorrelation structure,afni_clustsim_tool; monte_carlo,cluster_threshold_estimated; alpha=0.05,cluster_threshold_table.txt; acf_parameters.txt,,,,,
STAT-009,Statistical Analysis,Full-Stack,Compute effect sizes (Cohen's d) for OASIS age-cognition correlation,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Quantify magnitude of effects beyond p-values using standardized mean differences,effect_size_tool; cohen_d,effect_sizes_computed; confidence_intervals,cohens_d_map.nii.gz; effect_size_stats.csv,,,,,
STAT-010,Statistical Analysis,Full-Stack,Run mixed-effects GLM with random intercepts for FIAC multi-run,FIAC dataset,nilearn.datasets.fetch_fiac_first_level,Model both fixed effects (across subjects) and random effects (within subjects) simultaneously,mixed_effects_tool; hierarchical_model,mixed_model_fitted; variance_components,fixed_effects.nii.gz; random_effects_variance.csv,,,,,
STAT-011,Statistical Analysis,Full-Stack,Perform factorial ANOVA with task and group factors on Brainomics,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Test main effects and interactions in multi-factor experimental design,factorial_anova_tool; interaction_testing,anova_complete; interaction_map,main_effect_task.nii.gz; task_x_group.nii.gz; f_stats.csv,,,,,
STAT-012,Statistical Analysis,Full-Stack,Apply Bonferroni correction for family-wise error on ROI analysis,Haxby dataset,nilearn.datasets.fetch_haxby,Use most conservative multiple comparison method dividing alpha by number of tests,bonferroni_tool; fwe_control,bonferroni_applied; fwe<0.05,bonferroni_corrected.csv; significant_rois.txt,,,,,
STAT-013,Statistical Analysis,Full-Stack,Run non-parametric Kruskal-Wallis test on ADHD symptom correlations,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Test group differences without assuming normality using rank-based statistics,nonparametric_tool; kruskal_wallis,kw_test_complete; h_statistic_computed,kruskal_results.csv; post_hoc_comparisons.txt,,,,,
STAT-014,Statistical Analysis,Full-Stack,Perform multivariate GLM with multiple dependent variables on ABIDE,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Test effects across multiple brain measures simultaneously using MANOVA,manova_tool; multivariate_test,manova_complete; wilks_lambda,manova_results.csv; multivariate_statistics.txt,,,,,
STAT-015,Statistical Analysis,Full-Stack,Run robust regression to handle outliers in Development fMRI age effects,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Fit regression model that downweights influential outliers for stable parameter estimates,robust_regression_tool; outlier_resistant,robust_fit_complete; weights_computed,robust_beta_map.nii.gz; outlier_weights.csv,,,,,
STAT-016,Statistical Analysis,Full-Stack,Apply small volume correction for amygdala ROI in Mixed Gambles,Mixed gambles dataset,nilearn.datasets.fetch_mixed_gambles,Restrict multiple comparison correction to anatomically defined search volume,svc_tool; roi_correction,svc_applied; corrected_within_roi,svc_corrected_map.nii.gz; peak_coordinates.csv,,,,,
STAT-017,Statistical Analysis,Full-Stack,Perform conjunction analysis between language and calculation tasks,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Find voxels activated in multiple contrasts simultaneously using conjunction inference,conjunction_tool; overlap_analysis,conjunction_computed; overlapping_regions,conjunction_map.nii.gz; shared_activation.csv,,,,,
STAT-018,Statistical Analysis,Full-Stack,Run temporal autocorrelation correction with AR(1) model on Haxby,Haxby dataset,nilearn.datasets.fetch_haxby,Account for temporal dependencies in fMRI timeseries using autoregressive pre-whitening,prewhitening_tool; ar_correction,autocorr_corrected; effective_dof,prewhitened_residuals.nii.gz; ar_coefficients.txt,,,,,
STAT-019,Statistical Analysis,Full-Stack,Compute bootstrap confidence intervals for connectivity estimates,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Estimate parameter uncertainty by resampling subjects with replacement,bootstrap_tool; resampling,confidence_intervals_computed; 95_ci,bootstrap_estimates.csv; ci_visualization.png,,,,,
STAT-020,Statistical Analysis,Full-Stack,Apply PALM accelerated permutation testing on OASIS age effects,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Run fast permutation inference preserving exchangeability blocks for complex designs,fsl_palm_tool; permutation,palm_complete; corrected_pvalues,palm_tstat_fwep.nii.gz; palm_log.txt,,,,,
,,,,,,,,,,,,,,
CONN-001,Connectivity,Full-Stack,Compute resting-state functional connectivity using MSDL atlas on ADHD dataset,ADHD-200,nilearn.datasets.fetch_adhd,Calculate how brain regions communicate during rest using a 39-region atlas to compare ADHD vs control subjects,conn_tool; dynamic_connectivity_tool,matrix_39x39_generated; group_differences_detected,connectivity_matrix.npy; group_comparison.csv,,,,,
CONN-002,Connectivity,Full-Stack,Extract time series from Yeo 7 networks and compute correlation matrix on NKI data,NKI Enhanced,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Pull out activity timecourses from the 7 major brain networks and see how strongly they correlate with each other,connectivity_tool; nilearn_signal_extraction,timeseries_extracted; 7x7_correlation_matrix,network_timeseries.csv; correlation_matrix.png,,,,,
CONN-003,Connectivity,Full-Stack,Calculate partial correlation connectivity removing global signal on ABIDE,ABIDE,nilearn.datasets.fetch_abide_pcp,Measure direct connections between regions while removing shared influences to find autism-specific connectivity patterns,conn_tool; statistical_inference_tool,partial_corr_computed; autism_differences_p<0.05,partial_correlation.npy; significant_edges.csv,,,,,
CONN-004,Connectivity,Full-Stack,Compute seed-based connectivity from PCC to whole brain on development data,Development fMRI,,Pick the posterior cingulate (default mode hub) and find everywhere in the brain that synchronizes with it,connectivity_tool; nilearn_seed_correlation,seed_map_generated; spatial_extent_measured,pcc_connectivity_map.nii.gz; peak_coordinates.csv,,,,,
CONN-005,Connectivity,Full-Stack,Build dynamic connectivity with sliding windows on Localizer dataset,Brainomics Localizer,,Track how brain connections change over time during cognitive tasks instead of assuming they stay constant,dynamic_connectivity_tool; temporal_analysis,window_matrices_generated; state_changes_detected,dynamic_fc_windows.npy; state_transitions.csv,,,,,
CONN-006,Connectivity,Full-Stack,Extract HCP connectivity matrices at 200-parcel resolution for age prediction,HCP MegaTrawls,nilearn.datasets.fetch_megatrawls_netmats,Get connectivity data from 461 subjects using 200 brain regions to train age prediction models,connectivity_tool; hcp_data_loader,200x200_matrices_extracted; n_subjects=461,connectivity_matrices.h5; subject_metadata.csv,,,,,
CONN-007,Connectivity,Full-Stack,"Compute graph theory metrics (clustering, path length) from ABIDE connectivity",ABIDE,nilearn.datasets.fetch_abide_pcp,Treat brain connections like a network and measure how efficiently information flows and how tightly connected regions are,graph_theory_tool; connectivity_tool,clustering_coefficient; characteristic_path_length,graph_metrics.csv; small_world_sigma.txt,,,,,
CONN-008,Connectivity,Full-Stack,Calculate inter-subject correlation during movie watching in development dataset,Development fMRI,,Measure how similarly different people's brains respond moment-by-moment while watching the same Pixar movie,connectivity_tool; isc_analysis,isc_timecourse_generated; peak_isc>0.3,isc_map.nii.gz; isc_timecourse.csv,,,,,
CONN-009,Connectivity,Full-Stack,Build structural-functional coupling map using Schaefer 400 atlas on ABIDE,ABIDE,nilearn.datasets.fetch_abide_pcp,Compare patterns of anatomical connectivity (white matter) with functional connectivity (correlated activity),connectivity_tool; multimodal_integration_tool,coupling_map_400_regions; correlation_r,sc_fc_coupling.npy; coupling_histogram.png,,,,,
CONN-010,Connectivity,Full-Stack,Compute modularity and identify network communities in ADHD connectivity,ADHD-200,nilearn.datasets.fetch_adhd,Find natural groupings of brain regions that work together and see if community structure differs in ADHD,graph_theory_tool; connectivity_tool,modularity_score; community_assignments,community_structure.csv; network_modules.png,,,,,
CONN-011,Connectivity,Full-Stack,Calculate degree centrality maps to find connectivity hubs in NKI dataset,NKI Enhanced,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Identify brain regions that have the most connections (hub regions) across the lifespan,connectivity_tool; centrality_analysis,degree_centrality_map; hub_regions_detected,centrality_map.nii.gz; hub_coordinates.csv,,,,,
CONN-012,Connectivity,Full-Stack,Perform edge-wise connectivity analysis comparing autism vs control in ABIDE,ABIDE,nilearn.datasets.fetch_abide_pcp,Test every possible connection between regions (thousands of edges) to find specific links altered in autism,connectivity_tool; statistical_inference_tool; multiple_comparison_tool,edge_pvalues_computed; fdr_corrected_edges,significant_edges.csv; edge_statistics.npy,,,,,
CONN-013,Connectivity,Full-Stack,Extract connectome fingerprints for individual identification from HCP data,HCP MegaTrawls,nilearn.datasets.fetch_megatrawls_netmats,Use unique connectivity patterns as a brain fingerprint to identify individuals across scanning sessions,connectivity_tool; multivariate_analysis,identification_accuracy>0.9; differential_identifiability,fingerprint_vectors.npy; identification_matrix.csv,,,,,
CONN-014,Connectivity,Full-Stack,Compute time-lagged connectivity to find directional influences in Localizer,Brainomics Localizer,,Measure if activity in region A predicts future activity in region B to infer directional information flow,dynamic_connectivity_tool; granger_causality,lag_correlations_computed; directed_edges_detected,lagged_connectivity.npy; directionality_graph.csv,,,,,
CONN-015,Connectivity,Full-Stack,Build multi-layer networks with different frequency bands on ADHD data,ADHD-200,nilearn.datasets.fetch_adhd,"Create separate connectivity networks for different brain oscillation frequencies (delta, theta, alpha, beta, gamma)",connectivity_tool; frequency_analysis,multilayer_network_5_layers; cross_frequency_coupling,multilayer_connectivity.h5; frequency_specific_metrics.csv,,,,,
CONN-016,Connectivity,Full-Stack,Calculate participation coefficient to find connector hubs across networks,ABIDE,nilearn.datasets.fetch_abide_pcp,Find brain regions that bridge different functional networks rather than staying within one community,graph_theory_tool; connectivity_tool,participation_coefficient_map; connector_hubs_identified,participation_map.nii.gz; connector_regions.csv,,,,,
CONN-017,Connectivity,Full-Stack,Perform canonical correlation analysis between connectivity and behavior in HCP,HCP MegaTrawls,nilearn.datasets.fetch_megatrawls_netmats,Find the brain connectivity patterns that best predict combinations of behavioral measures,connectivity_tool; cca_analysis; behavioral_correlation,cca_components; brain_behavior_r>0.3,cca_loadings.csv; prediction_scatter.png,,,,,
CONN-018,Connectivity,Full-Stack,Compute rich club organization to identify high-cost hub connections,NKI Enhanced,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Find if highly connected hub regions also preferentially connect to each other (rich get richer pattern),graph_theory_tool; connectivity_tool,rich_club_coefficient; cost_density_tradeoff,rich_club_curve.png; hub_connections.csv,,,,,
CONN-019,Connectivity,Full-Stack,Calculate connectome-based predictive modeling for ADHD diagnosis,ADHD-200,nilearn.datasets.fetch_adhd,Use whole-brain connectivity patterns to build a predictive model that classifies ADHD vs control,connectivity_tool; mvpa_tool; cross_validation_tool,cpm_accuracy>0.7; positive_negative_networks,cpm_edges.csv; prediction_accuracy.txt,,,,,
CONN-020,Connectivity,Full-Stack,Build gradient maps of functional connectivity organization on development data,Development fMRI,,Map smooth transitions in connectivity patterns across the cortex to reveal organizational principles,connectivity_tool; gradient_analysis; brainspace_tool,gradient_maps_generated; principal_gradients>3,gradient_maps.nii.gz; gradient_loadings.csv,,,,,
,,,,,,,,,,,,,,
ELEC-001,Electrophysiology,Full-Stack,Preprocess MNE sample MEG data with maxwell filtering and artifact removal,MNE sample dataset,mne.datasets.sample.data_path(),Clean up raw MEG signals by removing environmental magnetic interference and biological artifacts like heartbeats,mne_preprocessing_tool; mne_autoreject_tool,maxwell_filtering_applied; artifacts_rejected,clean_raw.fif; preprocessing_report.html,,,,,
ELEC-002,Electrophysiology,Full-Stack,Perform ICA decomposition to identify eye blink components in MNE sample,MNE sample dataset,mne.datasets.sample.data_path(),Separate mixed MEG signals into independent sources to isolate and remove eye movement artifacts,mne_ica_tool; artifact_detection,ica_components_extracted; blink_components_identified,ica_solution.fif; component_topographies.png,,,,,
ELEC-003,Electrophysiology,Full-Stack,Compute evoked responses to auditory and visual stimuli in MNE sample,MNE sample dataset,mne.datasets.sample.data_path(),Average brain responses time-locked to stimulus presentation to reveal consistent event-related fields,mne_preprocessing_tool; evoked_analysis,evoked_fields_computed; peak_latencies_detected,auditory_evoked.fif; visual_evoked.fif; evoked_plot.png,,,,,
ELEC-004,Electrophysiology,Full-Stack,Calculate time-frequency representations for gamma band activity,MNE sample dataset,mne.datasets.sample.data_path(),Show how oscillatory power at different frequencies changes over time in response to stimuli,mne_timefreq_tool; spectral_analysis,tfr_computed; gamma_power_peak_detected,tfr_average.h5; time_frequency_plot.png,,,,,
ELEC-005,Electrophysiology,Full-Stack,Perform source localization using dSPM on auditory evoked responses,MNE sample dataset,mne.datasets.sample.data_path(),Figure out where in the brain the MEG signals are generated by solving the inverse problem,mne_source_tool; forward_modeling,source_estimates_computed; auditory_cortex_localized,lh_auditory.stc; rh_auditory.stc; source_plot.png,,,,,
ELEC-006,Electrophysiology,Full-Stack,Compute phase-locking value connectivity between MEG sensors,MNE sample dataset,mne.datasets.sample.data_path(),Measure synchronization between different brain regions by analyzing phase relationships of oscillations,mne_connectivity_tool; phase_analysis,plv_matrix_306x306; significant_connections_detected,plv_connectivity.npy; connectivity_circle.png,,,,,
ELEC-007,Electrophysiology,Full-Stack,Extract power spectral density and fit FOOOF model to parameterize,MNE sample dataset,mne.datasets.sample.data_path(),Decompose frequency spectrum into periodic peaks (oscillations) and aperiodic background (1/f noise),mne_fooof_tool; spectral_analysis,psd_computed; fooof_params_extracted,fooof_fit.json; spectrum_plot.png,,,,,
ELEC-008,Electrophysiology,Full-Stack,Compute event-related spectral perturbation (ERSP) for theta band,MNE sample dataset,mne.datasets.sample.data_path(),Measure how theta oscillations (4-8 Hz) increase or decrease in power relative to baseline after stimuli,mne_timefreq_tool; ersp_analysis,ersp_computed; theta_power_modulation,ersp_theta.h5; ersp_topomap.png,,,,,
ELEC-009,Electrophysiology,Full-Stack,Perform automatic bad channel detection using autoreject on epochs,MNE sample dataset,mne.datasets.sample.data_path(),Automatically identify and mark problematic MEG sensors that have excessive noise or artifacts,mne_autoreject_tool; quality_control,bad_channels_detected; rejection_threshold_computed,autoreject_log.pkl; bad_channels.txt,,,,,
ELEC-010,Electrophysiology,Full-Stack,Calculate inter-trial coherence to measure phase consistency,MNE sample dataset,mne.datasets.sample.data_path(),Measure how consistently oscillation phases align across repeated trials at each time point,mne_timefreq_tool; coherence_analysis,itc_computed; phase_locked_regions_identified,itc_map.h5; itc_topomap.png,,,,,
ELEC-011,Electrophysiology,Full-Stack,Compute minimum norm estimates with depth weighting on visual responses,MNE sample dataset,mne.datasets.sample.data_path(),Reconstruct cortical source activity from MEG sensors using minimum energy solution with depth bias correction,mne_source_tool; inverse_modeling,mne_solution_computed; visual_cortex_activated,visual_source.stc; source_timecourse.csv,,,,,
ELEC-012,Electrophysiology,Full-Stack,Perform cluster-based permutation test on sensor-level data,MNE sample dataset,mne.datasets.sample.data_path(),Test for statistical differences between conditions while controlling for multiple comparisons across sensors and time,mne_statistics_tool; cluster_permutation,clusters_detected; cluster_pvalues<0.05,significant_clusters.h5; cluster_plot.png,,,,,
ELEC-013,Electrophysiology,Full-Stack,Calculate cross-frequency coupling between theta phase and gamma amplitude,MNE sample dataset,mne.datasets.sample.data_path(),Measure if gamma power is modulated by the phase of slower theta oscillations (phase-amplitude coupling),mne_connectivity_tool; pac_analysis,pac_computed; coupling_strength_significant,pac_values.npy; comodulogram.png,,,,,
ELEC-014,Electrophysiology,Full-Stack,Compute forward solution and BEM model for source reconstruction,MNE sample dataset,mne.datasets.sample.data_path(),Build a model of how brain sources create sensor signals by computing electromagnetic forward problem,mne_forward_modeling; bem_solution,forward_solution_created; bem_surfaces_checked,forward_solution.fif; bem_plot.png,,,,,
ELEC-015,Electrophysiology,Full-Stack,Extract sensor space decoding to classify auditory vs visual trials,MNE sample dataset,mne.datasets.sample.data_path(),Train classifier to distinguish stimulus types from MEG patterns to test information content at sensors,mne_decoding_tool; mvpa_tool,decoding_accuracy>0.8; generalization_across_time,decoding_scores.csv; gat_matrix.png,,,,,
ELEC-016,Electrophysiology,Full-Stack,Compute morlet wavelet decomposition for multi-scale time-frequency,MNE sample dataset,mne.datasets.sample.data_path(),Decompose signals into different frequency components over time using wavelets for high resolution,mne_timefreq_tool; wavelet_analysis,wavelet_power_computed; frequency_range_1-40Hz,wavelet_power.h5; tfr_multitaper.png,,,,,
ELEC-017,Electrophysiology,Full-Stack,Calculate imaginary coherence to remove volume conduction effects,MNE sample dataset,mne.datasets.sample.data_path(),Measure connectivity using only the imaginary part of coherence to avoid spurious correlations from signal mixing,mne_connectivity_tool; coherence_analysis,imag_coherence_computed; true_interactions_isolated,imag_coh_matrix.npy; connectivity_matrix.png,,,,,
ELEC-018,Electrophysiology,Full-Stack,Perform temporal response function (TRF) analysis on continuous data,MNE sample dataset,mne.datasets.sample.data_path(),Build encoding models that predict MEG responses from stimulus features over time lags,mne_encoding_tool; trf_analysis,trf_model_fitted; prediction_accuracy_significant,trf_weights.npy; predicted_response.fif,,,,,
ELEC-019,Electrophysiology,Full-Stack,Compute phase lag index connectivity to assess true interactions,MNE sample dataset,mne.datasets.sample.data_path(),Measure non-zero phase lag connectivity that must reflect true interactions not instantaneous mixing,mne_connectivity_tool; pli_analysis,pli_matrix_computed; significant_edges_detected,pli_connectivity.npy; pli_circle_plot.png,,,,,
ELEC-020,Electrophysiology,Full-Stack,"Extract peak latencies and amplitudes from evoked components (N100, P200)",MNE sample dataset,mne.datasets.sample.data_path(),Identify timing and magnitude of major evoked response peaks to characterize neural processing speed,mne_evoked_analysis; peak_detection,n100_latency_detected; p200_amplitude_measured,peak_latencies.csv; evoked_waveforms.png,,,,,
,,,,,,,,,,,,,,
DIFF-001,Diffusion,Full-Stack,Preprocess DWI data with eddy current and motion correction,Custom DWI BIDS,,Clean up diffusion scans by correcting distortions from eddy currents and subject head movement,qsiprep_tool; fsl_eddy,eddy_corrected; motion_params_extracted,corrected_dwi.nii.gz; eddy_movement.txt,,,,,
DIFF-002,Diffusion,Full-Stack,"Fit diffusion tensor model and compute FA, MD, RD, AD maps",Custom DWI data,,Model water diffusion as ellipsoid to get metrics like fractional anisotropy (white matter integrity),diffusion_tensor_tool; dipy_tool,dti_fitted; fa_map_generated,dti_FA.nii.gz; dti_MD.nii.gz; dti_tensors.nii.gz,,,,,
DIFF-003,Diffusion,Full-Stack,Perform probabilistic tractography from seed regions using FSL BEDPOSTX,Custom DWI preprocessed,,Model crossing fibers then trace probabilistic pathways from seed regions through white matter,fsl_bedpostx_tool; diffusion_tractography_tool,bedpost_converged; streamlines_generated,bedpostx/dyads1.nii.gz; tractogram.tck,,,,,
DIFF-004,Diffusion,Full-Stack,Generate whole-brain tractogram with anatomically-constrained tracking,Custom DWI + T1w,,Create complete white matter pathway map while using anatomical boundaries to prevent invalid tracks,diffusion_tractography_tool; mrtrix3_tool,tractogram_generated; anatomical_constraints_applied,whole_brain.tck; tck_stats.txt,,,,,
DIFF-005,Diffusion,Full-Stack,Compute structural connectome using AAL atlas parcellation,Custom DWI + AAL atlas,,Build connectivity matrix showing white matter connections between 167 brain regions,diffusion_tractography_tool; connectome_tool,connectome_167x167; weighted_by_streamlines,structural_connectome.csv; connectome_plot.png,,,,,
DIFF-006,Diffusion,Full-Stack,Fit NODDI model to estimate neurite density and orientation dispersion,Custom multi-shell DWI,,Use advanced diffusion model to separate intracellular from extracellular water and measure fiber complexity,noddi_tool; advanced_diffusion_model,noddi_fitted; icvf_odi_maps_generated,noddi_icvf.nii.gz; noddi_odi.nii.gz,,,,,
DIFF-007,Diffusion,Full-Stack,Perform fixel-based analysis for crossing fiber metrics,Custom DWI multi-subject,,Analyze fiber density and cross-section at the level of individual fiber populations within voxels,mrtrix3_fixel_tool; fba_analysis,fixel_metrics_computed; population_template_generated,fixel_fd.mif; fixel_fdc.mif; fba_stats.csv,,,,,
DIFF-008,Diffusion,Full-Stack,"Extract tract profiles along major white matter pathways (CST, arcuate)",Custom DWI + atlas,,Sample diffusion metrics along the length of specific tracts to detect localized abnormalities,tractometry_tool; along_tract_stats,tract_profiles_extracted; 100_nodes_per_tract,cst_fa_profile.csv; arcuate_md_profile.csv,,,,,
DIFF-009,Diffusion,Full-Stack,Compute free water elimination to separate tissue from CSF contamination,Custom DWI data,,Remove CSF partial volume effects to get cleaner white matter diffusion measures,fwe_tool; dipy_tool,fwe_corrected; tissue_fraction_map,fwe_FA.nii.gz; fwe_fraction.nii.gz,,,,,
DIFF-010,Diffusion,Full-Stack,Perform TBSS voxel-wise statistics on FA maps across subjects,Custom FA maps multi-subject,,Align all subjects' white matter skeletons and test for group differences along major tracts,fsl_tbss_tool; voxelwise_stats,skeleton_generated; tfce_corrected_pvals,tbss_FA_skeleton.nii.gz; tbss_stats.csv,,,,,
DIFF-011,Diffusion,Full-Stack,Generate FOD spherical harmonic representations for fiber orientation,Custom DWI data,,Represent fiber orientations at each voxel as spherical functions to capture crossing fibers,mrtrix3_fod_tool; spherical_deconv,fod_computed; crossing_fibers_resolved,fod.mif; fod_peaks.nii.gz,,,,,
DIFF-012,Diffusion,Full-Stack,Perform AFQ automated fiber quantification on major tracts,Custom DWI + anatomy,,Automatically identify 20 major white matter tracts and extract diffusion metrics along their length,afq_tool; tractometry_tool,20_tracts_identified; tract_profiles_computed,afq_tracts.mat; afq_profiles.csv,,,,,
